;Classe;Département;Nombre individus
793;1897;paris;21748
794;1899;memoire+des+hommes;1474
795;1903;sarthe;4381
796;1893;charente;1950
797;1899;haut-rhin;2947
798;1903;saone-et-loire;5244
799;1906;haut-rhin;1482
800;1919;morbihan;6086
801;1899;marne;6131
802;1911;vienne;1541
803;1893;eure;1600
804;1912;ille-et-vilaine;4826
805;1893;drome;2886
806;1893;doubs;0
807;1912;indre;2273
808;1899;loiret;42
809;1912;cote+d%27or;0
810;1891;charente-maritime;2728
811;1912;gard;4049
812;1899;loire;4107
813;1895;haute-loire;2665
814;1896;memoire+des+hommes;1074
815;1899;landes;1992
816;1911;moselle;0
817;1899;jura;1954
818;1912;aisne;1087
819;1893;cotes+d%27armor;4450
820;1911;sarthe;0
821;1893;bouches-du-rhone;3796
822;1903;pyrenees-orientales;1821
823;1906;guadeloupe;1283
824;1899;ille-et-vilaine;5699
825;1899;herault;348
826;1911;marne;9960
827;1895;haute-garonne;3966
828;1899;hautes-alpes;1170
829;1893;correze;3942
830;1903;pyrenees-atlantiques;3904
831;1906;gironde;5941
832;1899;doubs;0
833;1909;lot-et-garonne;2037
834;1903;puy-de-dome;1
835;1891;orne;2314
836;1899;dordogne;3607
837;1910;nievre;2627
838;1891;charente;1505
839;1893;cher;17
840;1899;haute-saone;1666
841;1899;haute-marne;1497
842;1899;haute-loire;2423
843;1911;bas-rhin;3274
844;1899;guadeloupe;719
845;1910;var;1892
846;1893;cantal;2348
847;1910;yonne;1817
848;1899;gers;1646
849;1893;calvados;0
850;1899;gard;3581
851;1899;finistere;7013
852;1910;haute-saone;2074
853;1899;eure;1550
854;1910;martinique;1544
855;1893;bas-rhin;64
856;1910;hautes-alpes;829
857;1895;haut-rhin;2854
858;1893;aude;3825
859;1899;creuse;1787
860;1893;aube;2008
861;1919;indre;2392
862;1903;pas-de-calais;8641
863;1910;gers;1365
864;1896;mayenne;2945
865;1892;pyrenees-atlantiques;4166
866;1899;corse;2317
867;1903;paris;23499
868;1916;vosges;4924
869;1899;correze;4115
870;1919;loiret;89
871;1895;guadeloupe;1213
872;1919;doubs;0
873;1899;cher;4517
874;1919;correze;3632
875;1899;charente-maritime;3539
876;1918;pyrenees-atlantiques;5047
877;1899;charente;2507
878;1918;seine-maritime;8759
879;1906;gard;4222
880;1893;ardeche;2103
881;1899;cantal;2414
882;1891;cantal;2282
883;1892;puy-de-dome;0
884;1899;calvados;0
885;1893;archives+nationales+d%27outre+mer;5797
886;1895;gironde;5947
887;1917;morbihan;7378
888;1899;bas-rhin;2617
889;1903;nord;2540
890;1893;archives+diplomatiques;0
891;1903;nievre;3669
892;1906;finistere;7311
893;1899;aude;3750
894;1895;gers;1657
895;1917;loiret;251
896;1899;aube;871
897;1892;pas-de-calais;8070
898;1903;moselle;0
899;1906;eure-et-loir;271
900;1892;paris;23138
901;1893;alpes-de-haute-provence;1217
902;1899;ardennes;3008
903;1903;morbihan;5636
904;1899;ardeche;2058
905;1893;allier;0
906;1891;calvados;0
907;1915;memoire+des+hommes;3536
908;1899;archives+nationales+d%27outre+mer;6398
909;1916;memoire+des+hommes;2600
910;1899;archives+diplomatiques;0
911;1895;gard;4604
912;1893;aisne;1228
913;1899;alpes-maritimes;0
914;1903;meuse;3264
915;1896;marne;6259
916;1915;haute-savoie;2436
917;1899;alpes-de-haute-provence;1218
918;1916;charente;5536
919;1914;marne;11081
920;1895;finistere;7192
921;1914;paris;27317
922;1892;yvelines;4594
923;1915;lot-et-garonne;2007
924;1899;ain;210
925;1903;memoire+des+hommes;2191
926;1915;drome;2406
927;1898;yvelines;4701
928;1915;ariege;1553
929;1903;mayenne;2814
930;1906;drome;2390
931;1898;yonne;2486
932;1898;vosges;4257
933;1892;oise;0
934;1892;vosges;4119
935;1909;loire-atlantique;5431
936;1898;vienne;739
937;1916;correze;4013
938;1896;manche;1582
939;1898;vendee;3937
940;1912;nord;0
941;1892;vienne;3080
942;1903;martinique;1154
943;1898;vaucluse;1736
944;1898;var;0
945;1913;saone-et-loire;5267
946;1903;marne;4967
947;1906;doubs;1289
948;1911;vendee;3674
949;1892;vendee;3850
950;1898;territoire+de+belfort;2340
951;1913;indre;2395
952;1895;eure;1535
953;1913;cote+d%27or;3
954;1892;vaucluse;1817
955;1903;manche;1634
956;1912;dordogne;3704
957;1906;dordogne;3732
958;1898;tarn;2489
959;1898;somme;3994
960;1903;maine-et-loire;0
961;1912;jura;2041
962;1892;var;0
963;1898;seine-maritime;7568
964;1910;correze;3552
965;1891;pyrenees-atlantiques;4498
966;1912;alpes-maritimes;2312
967;1892;territoire+de+belfort;2432
968;1910;cher;88
969;1898;savoie;0
970;1907;alpes-de-haute-provence;907
971;1910;charente-maritime;3152
972;1896;maine-et-loire;0
973;1909;loire;3941
974;1898;saone-et-loire;5503
975;1910;charente;4238
976;1898;rhone;0
977;1910;cantal;1718
978;1906;deux-sevres;3170
979;1898;pyrenees-atlantiques;4734
980;1910;calvados;0
981;1892;somme;4131
982;1898;puy-de-dome;978
983;1906;creuse;2355
984;1898;pas-de-calais;8085
985;1892;seine-maritime;6689
986;1910;doubs;691
987;1898;paris;21811
988;1898;orne;2505
989;1896;lozere;0
990;1892;seine-et-marne;2765
991;1898;oise;0
992;1898;nord;14
993;1919;allier;0
994;1892;savoie;0
995;1906;cotes+d%27armor;5210
996;1898;nievre;4148
997;1898;moselle;0
998;1892;sarthe;4354
999;1898;morbihan;5521
1000;1913;bouches-du-rhone;5964
1001;1910;ardennes;4579
1002;1906;cote+d%27or;2
1003;1898;meuse;2232
1004;1898;meurthe-et-moselle;0
1005;1910;ardeche;1927
1006;1898;memoire+des+hommes;1332
1007;1898;mayenne;2927
1008;1910;archives+nationales+d%27outre+mer;8079
1009;1915;meuse;3959
1010;1898;martinique;969
1011;1898;marne;5924
1012;1910;archives+diplomatiques;328
1013;1898;manche;1532
1014;1898;maine-et-loire;0
1015;1910;alpes-maritimes;2064
1016;1896;lot-et-garonne;0
1017;1898;lozere;1
1018;1910;alpes-de-haute-provence;824
1019;1914;herault;403
1020;1898;loiret;34
1021;1910;allier;0
1022;1898;loire-atlantique;5704
1023;1898;loire;4050
1024;1910;aisne;1067
1025;1898;loir-et-cher;0
1026;1898;landes;1809
1027;1912;vosges;4544
1028;1906;correze;2852
1029;1898;jura;2008
1030;1898;isere;0
1031;1898;indre-et-loire;1912
1032;1898;indre;3617
1033;1909;yonne;1896
1034;1906;ardennes;2219
1035;1896;lot;1705
1036;1898;herault;367
1037;1909;vosges;4124
